BTC,LTC,ETC,ETH,BCH,XMR,XRP,ZEC,DASH
6425.5,94.42,14.23,492.66,836.0,122.55,0.5218,182.68,257.26
6432.3,94.17,14.06,492.88,836.2,121.89,0.5217,183.59,254.9
6433.1,94.12,14.06,493.66,834.0,121.52,0.5169,183.81,254.78
6469.9,94.8,14.2,496.85,841.8,122.94,0.5208,186.36,255.13
6460.3,94.53,14.13,495.37,839.0,122.59,0.5189,184.49,255.13
6431.4,93.73,14.13,493.0,835.5,121.2,0.5149,183.12,253.85
6420.6,93.7,14.06,492.19,828.5,121.18,0.5131,182.87,251.81
6421.9,93.51,14.15,491.75,830.6,120.99,0.5132,182.95,252.66
6435.8,93.46,14.28,494.0,831.4,120.3,0.5125,182.93,252.89
6454.5,94.46,14.26,496.75,837.8,120.71,0.518,182.96,252.0
6467.0,94.39,14.26,496.72,841.8,120.71,0.5149,182.6,252.4
6645.4,97.09,14.6,512.03,876.1,127.08,0.5356,192.26,259.47
6731.5,98.0,15.28,517.69,891.4,127.29,0.5421,199.86,264.0
6728.6,98.72,15.09,518.58,888.4,126.73,0.5455,198.48,265.37
6703.2,98.42,15.01,515.17,886.0,126.31,0.5409,196.71,263.07
6740.9,99.23,15.2,518.82,887.6,126.27,0.541,197.51,263.44
6727.1,99.65,15.1,517.33,887.5,126.65,0.5398,195.54,265.12
6711.5,98.85,15.05,517.93,886.6,126.4,0.538,195.11,263.83
6706.6,98.78,15.11,517.45,885.6,126.85,0.5386,195.76,264.89
6717.2,98.97,15.23,520.45,889.0,127.59,0.5443,197.74,271.0
6713.1,98.6,15.14,517.14,885.8,127.39,0.5421,197.18,268.32
6691.7,97.7,15.03,515.88,877.4,128.0,0.5368,195.28,268.32
6687.7,97.39,15.13,515.23,877.7,126.98,0.5378,195.28,268.32
6709.0,97.89,15.19,517.01,880.8,127.58,0.5398,195.06,268.32
6703.6,97.68,15.21,516.69,885.6,127.4,0.5385,195.51,264.82
6687.7,97.0,15.13,515.53,874.0,126.6,0.5359,196.32,268.32
6706.4,97.77,15.31,518.95,879.1,127.4,0.5365,196.32,268.32
6704.0,97.51,15.35,519.0,882.5,127.76,0.539,195.73,268.32
6717.0,97.79,15.55,522.14,888.0,127.46,0.5431,195.88,263.46
6713.7,98.26,15.5,525.62,891.2,127.44,0.543,196.05,265.27
6732.0,98.96,15.68,535.0,899.1,128.14,0.5486,196.82,269.08
6769.6,100.06,15.68,540.61,908.9,128.86,0.5541,197.04,270.33
6754.9,99.19,15.43,533.26,901.8,128.75,0.546,198.49,265.38
6748.5,99.14,15.44,535.0,899.0,125.72,0.5458,197.71,260.77
6746.3,98.46,15.34,535.17,903.6,126.32,0.5485,196.34,261.5
6715.7,97.55,15.19,531.22,888.5,125.72,0.5425,195.21,258.71
6716.0,97.86,15.26,531.73,894.3,125.0,0.5419,195.65,258.89
6712.5,98.09,15.26,531.65,892.8,124.63,0.54,196.24,259.66
6738.0,98.55,15.49,537.91,900.4,125.95,0.546,198.11,258.09
6697.9,98.11,15.21,530.8,889.3,125.39,0.5407,197.0,257.39
6714.9,98.05,15.33,534.08,894.9,125.74,0.5438,197.26,257.39
6721.6,98.3,15.42,535.9,898.2,126.41,0.547,197.26,259.75
6740.2,98.61,15.58,537.95,907.0,125.83,0.5492,197.79,259.75
6666.5,97.82,15.1,527.12,884.8,125.85,0.541,196.15,259.41
6614.2,96.8,15.14,524.23,872.8,122.97,0.5327,193.02,256.1
6608.2,96.05,14.92,521.0,865.7,122.57,0.5291,192.26,254.02
6604.1,95.93,14.97,520.74,870.1,122.97,0.53,192.26,254.02
6595.1,95.72,14.95,518.24,870.2,122.47,0.5307,190.87,252.97
6594.8,95.9,14.98,518.61,868.9,121.73,0.528,190.1,252.97
6622.5,96.25,15.11,523.01,875.7,122.93,0.5323,191.89,253.46
